kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,kills (stayed alive),num lives,avg time per life (s),hill time (s),2-piece
38,25,13,1.52,32.6,21.5,31,26,24.8,72,4
30,24,6,1.25,25.8,20.6,20,27,23.9,82,2
21,31,-10,0.68,18.0,26.6,14,32,19.8,80,3
24,23,1,1.04,20.6,19.7,16,24,27.2,147,2
25,30,-5,0.83,21.5,25.8,13,31,20.6,68,0
32,27,5,1.19,27.5,23.2,23,28,22.7,51,3
32,36,-4,0.89,27.5,30.9,20,38,16.4,36,6
17,27,-10,0.63,19.8,31.5,8,29,15.7,16,3
13,30,-17,0.43,15.2,35.0,5,30,15.0,40,0
24,22,2,1.09,28.0,25.7,15,23,20.3,40,4
19,28,-9,0.68,22.2,32.7,10,30,15.2,46,4
22,21,1,1.05,25.7,24.5,12,22,21.4,58,2
22,15,7,1.47,25.7,17.5,17,17,28.3,84,2
31,16,15,1.94,36.2,18.7,21,17,28.3,90,4
32,21,11,1.52,37.4,24.5,19,22,21.3,69,7
21,31,-10,0.68,19.7,29.1,16,32,18.0,62,1
23,25,-2,0.92,21.6,23.5,18,26,22.4,67,4
30,21,9,1.43,28.2,19.7,25,22,27.1,75,6
24,24,0,1.0,22.5,22.5,18,25,23.3,81,5
28,26,2,1.08,26.3,24.4,15,27,21.7,104,1
21,26,-5,0.81,19.7,24.4,10,27,21.7,69,3
32,19,13,1.68,30.0,17.8,26,20,30.0,50,7
20,27,-7,0.74,18.8,25.4,9,29,20.1,85,1
31,38,-7,0.82,26.5,32.5,20,39,16.0,8,5
36,30,6,1.2,30.8,25.6,25,33,19.3,37,8
28,30,-2,0.93,23.9,25.6,18,31,20.7,113,3
33,26,7,1.27,28.2,22.2,25,27,24.0,82,5
30,32,-2,0.94,25.6,27.4,22,33,19.2,99,4
36,33,3,1.09,30.8,28.2,16,35,18.1,31,3
34,22,12,1.55,29.1,18.8,29,23,28.6,110,6
24,41,-17,0.59,20.5,35.0,8,41,15.1,67,2
31,19,12,1.63,29.4,18.0,24,20,29.7,51,3
30,19,11,1.58,28.4,18.0,23,22,26.8,83,3
23,18,5,1.28,21.8,17.1,19,19,31.4,57,1
20,24,-4,0.83,19.0,22.7,13,26,21.8,71,1
24,28,-4,0.86,22.7,26.5,14,29,19.8,62,3
23,23,0,1.0,21.8,21.8,20,25,23.3,18,3
21,23,-2,0.91,19.9,21.8,14,25,22.6,48,3
12,30,-18,0.4,11.4,28.4,9,31,18.4,84,2
24,32,-8,0.75,21.9,29.2,14,33,17.9,52,1
33,22,11,1.5,30.1,20.1,28,23,26.6,57,5
33,20,13,1.65,30.1,18.3,28,21,29.4,67,7
19,23,-4,0.83,17.4,21.0,12,24,25.4,115,1
25,27,-2,0.93,22.8,24.7,16,28,21.5,87,4
30,26,4,1.15,27.4,23.7,24,27,22.4,90,4
24,22,2,1.09,21.9,20.1,15,24,25.4,61,0
18,34,-16,0.53,16.4,31.1,7,35,16.8,40,0
36,37,-1,0.97,26.4,27.2,25,38,19.5,104,6
31,41,-10,0.76,22.8,30.1,21,42,17.4,33,7
47,29,18,1.62,34.5,21.3,37,29,26.2,100,4
35,34,1,1.03,25.7,25.0,26,35,21.2,65,4
43,32,11,1.34,31.6,23.5,28,33,22.8,123,6
37,41,-4,0.9,27.2,30.1,27,42,17.4,73,5
30,36,-6,0.83,22.0,26.4,22,37,20.0,44,2
31,40,-9,0.78,22.8,29.4,23,41,17.9,88,6
33,17,16,1.94,34.1,17.6,28,19,28.6,34,9
29,23,6,1.26,30.0,23.8,20,25,21.1,57,3
34,18,16,1.89,35.2,18.6,27,19,28.6,107,4
12,23,-11,0.52,12.4,23.8,7,25,21.2,91,1
16,27,-11,0.59,16.6,27.9,8,28,18.8,67,1
26,30,-4,0.87,26.9,31.0,14,31,16.7,31,2
16,26,-10,0.62,16.6,26.9,11,27,19.5,47,0
23,25,-2,0.92,23.8,25.9,14,27,19.4,31,2
